Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	10cells_970buffer_20imaz_lsz_1.UDT
Run Date:	12:01:08, 02/12/2026
Operator:	Nobody
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.0009914	-0.0009914	0.5682	0.3228

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	82.0	120.0	10.000	120.0	0.119
2	120.0	132.0	244.0	10.000	244.0	0.250

Data Points
s	Abs
0.0	0.400
2.0	0.400
4.0	0.400
6.0	0.400
8.0	0.400
10.0	0.400
12.0	0.400
14.0	0.400
16.0	0.400
18.0	0.400
20.0	0.401
22.0	0.400
24.0	0.401
26.0	0.400
28.0	0.400
30.0	0.401
32.0	0.400
34.0	0.400
36.0	0.401
38.0	0.400
40.0	0.400
42.0	0.400
44.0	0.399
46.0	0.400
48.0	0.400
50.0	0.400
52.0	0.400
54.0	0.399
56.0	0.399
58.0	0.399
60.0	0.398
62.0	0.399
64.0	0.398
66.0	0.398
68.0	0.399
70.0	0.398
72.0	0.398
74.0	0.398
76.0	0.398
78.0	0.397
80.0	0.397
82.0	10.000
84.0	0.119
86.0	0.119
88.0	0.119
90.0	0.119
92.0	0.119
94.0	0.119
96.0	0.119
98.0	0.119
100.0	0.119
102.0	0.119
104.0	0.119
106.0	0.119
108.0	0.119
110.0	0.119
112.0	0.119
114.0	0.119
116.0	0.119
118.0	0.119
120.0	0.119
122.0	0.119
124.0	0.119
126.0	0.119
128.0	0.119
130.0	0.119
132.0	10.000
134.0	0.335
136.0	0.330
138.0	0.326
140.0	0.322
142.0	0.318
144.0	0.314
146.0	0.310
148.0	0.306
150.0	0.303
152.0	0.300
154.0	0.297
156.0	0.294
158.0	0.292
160.0	0.289
162.0	0.287
164.0	0.284
166.0	0.283
168.0	0.281
170.0	0.279
172.0	0.277
174.0	0.276
176.0	0.274
178.0	0.273
180.0	0.272
182.0	0.271
184.0	0.270
186.0	0.269
188.0	0.267
190.0	0.267
192.0	0.265
194.0	0.264
196.0	0.263
198.0	0.262
200.0	0.261
202.0	0.260
204.0	0.259
206.0	0.258
208.0	0.257
210.0	0.257
212.0	0.256
214.0	0.255
216.0	0.255
218.0	0.254
220.0	0.254
222.0	0.253
224.0	0.253
226.0	0.252
228.0	0.252
230.0	0.252
232.0	0.251
234.0	0.251
236.0	0.251
238.0	0.250
240.0	0.250
242.0	0.250
244.0	0.250

