time_s,absorbance
0.0,0.758
2.0,0.757
4.0,0.758
6.0,0.757
8.0,0.757
10.0,0.756
12.0,0.756
14.0,0.755
16.0,0.755
18.0,0.754
20.0,0.754
22.0,0.753
24.0,0.753
26.0,0.753
28.0,0.753
30.0,0.753
32.0,0.753
34.0,0.752
36.0,0.751
38.0,0.752
40.0,0.751
42.0,0.751
44.0,0.75
46.0,0.751
48.0,0.75
50.0,0.751
52.0,0.75
54.0,0.75
56.0,0.749
58.0,0.75
60.0,0.749
62.0,0.749
64.0,0.749
66.0,0.749
68.0,0.748
70.0,0.749
72.0,0.748
74.0,0.748
76.0,0.748
78.0,0.748
80.0,0.748
82.0,-0.362
84.0,0.777
86.0,0.117
88.0,0.117
90.0,0.117
92.0,0.117
94.0,0.117
96.0,0.117
98.0,0.117
100.0,0.117
102.0,0.117
104.0,0.117
106.0,0.117
108.0,0.117
110.0,0.117
112.0,0.117
114.0,0.117
116.0,0.117
118.0,0.117
120.0,0.117
122.0,-0.667
124.0,10.0
126.0,0.627
128.0,0.614
130.0,0.602
132.0,0.591
134.0,0.58
136.0,0.571
138.0,0.562
140.0,0.553
142.0,0.546
144.0,0.537
146.0,0.53
148.0,0.523
150.0,0.517
152.0,0.51
154.0,0.505
156.0,0.499
158.0,0.493
160.0,0.488
162.0,0.483
164.0,0.478
166.0,0.473
168.0,0.468
170.0,0.464
172.0,0.46
174.0,0.455
176.0,0.451
178.0,0.448
180.0,0.444
182.0,0.439
184.0,0.436
186.0,0.432
188.0,0.429
190.0,0.426
192.0,0.423
194.0,0.419
196.0,0.416
198.0,0.414
200.0,0.41
202.0,0.408
204.0,0.405
206.0,0.402
208.0,0.399
210.0,0.397
