Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	20cells_960buffer_20imaz_lsz_3.UDT
Run Date:	12:45:20, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.01268	-0.01268	0.9973	0.9947

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	92.0	118.0	10.000	118.0	0.117
2	118.0	140.0	272.0	10.000	272.0	0.289

Data Points
s	Abs
0.0	0.576
2.0	0.575
4.0	0.574
6.0	0.574
8.0	0.574
10.0	0.573
12.0	0.573
14.0	0.573
16.0	0.572
18.0	0.572
20.0	0.571
22.0	0.571
24.0	0.570
26.0	0.570
28.0	0.569
30.0	0.569
32.0	0.569
34.0	0.568
36.0	0.567
38.0	0.567
40.0	0.567
42.0	0.567
44.0	0.566
46.0	0.566
48.0	0.565
50.0	0.565
52.0	0.564
54.0	0.564
56.0	0.564
58.0	0.563
60.0	0.563
62.0	0.562
64.0	0.562
66.0	0.562
68.0	0.561
70.0	0.561
72.0	0.560
74.0	0.560
76.0	0.560
78.0	0.560
80.0	0.559
82.0	0.559
84.0	0.559
86.0	0.559
88.0	0.558
90.0	0.139
92.0	10.000
94.0	0.118
96.0	0.118
98.0	0.118
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.117
108.0	0.117
110.0	0.117
112.0	0.118
114.0	0.117
116.0	0.117
118.0	0.117
120.0	0.117
122.0	0.118
124.0	0.118
126.0	0.118
128.0	0.118
130.0	0.118
132.0	0.118
134.0	0.118
136.0	0.118
138.0	-0.919
140.0	10.000
142.0	0.458
144.0	0.451
146.0	0.444
148.0	0.437
150.0	0.431
152.0	0.424
154.0	0.419
156.0	0.414
158.0	0.408
160.0	0.403
162.0	0.397
164.0	0.393
166.0	0.388
168.0	0.384
170.0	0.380
172.0	0.376
174.0	0.373
176.0	0.369
178.0	0.366
180.0	0.362
182.0	0.359
184.0	0.356
186.0	0.353
188.0	0.350
190.0	0.348
192.0	0.345
194.0	0.343
196.0	0.340
198.0	0.338
200.0	0.336
202.0	0.334
204.0	0.332
206.0	0.330
208.0	0.328
210.0	0.326
212.0	0.325
214.0	0.323
216.0	0.321
218.0	0.319
220.0	0.318
222.0	0.316
224.0	0.315
226.0	0.313
228.0	0.312
230.0	0.311
232.0	0.309
234.0	0.308
236.0	0.307
238.0	0.306
240.0	0.304
242.0	0.304
244.0	0.303
246.0	0.302
248.0	0.300
250.0	0.300
252.0	0.298
254.0	0.297
256.0	0.296
258.0	0.295
260.0	0.294
262.0	0.294
264.0	0.292
266.0	0.291
268.0	0.291
270.0	0.290
272.0	0.289

