Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	40cells_940buffer_20imaz_lsz_2.UDT
Run Date:	13:22:51, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.01165	-0.01165	0.9941	0.9882

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	84.0	100.0	10.000	100.0	0.117
2	100.0	124.0	202.0	10.000	202.0	0.417

Data Points
s	Abs
0.0	0.825
2.0	0.824
4.0	0.823
6.0	0.823
8.0	0.822
10.0	0.821
12.0	0.821
14.0	0.820
16.0	0.820
18.0	0.820
20.0	0.819
22.0	0.819
24.0	0.818
26.0	0.818
28.0	0.818
30.0	0.817
32.0	0.817
34.0	0.817
36.0	0.816
38.0	0.816
40.0	0.815
42.0	0.816
44.0	0.815
46.0	0.815
48.0	0.814
50.0	0.814
52.0	0.813
54.0	0.813
56.0	0.812
58.0	0.812
60.0	0.812
62.0	0.812
64.0	0.812
66.0	0.812
68.0	0.811
70.0	0.812
72.0	0.811
74.0	0.811
76.0	0.811
78.0	0.811
80.0	0.810
82.0	0.815
84.0	10.000
86.0	0.117
88.0	0.117
90.0	0.117
92.0	0.117
94.0	0.117
96.0	0.117
98.0	0.117
100.0	0.117
102.0	0.117
104.0	0.117
106.0	0.117
108.0	0.117
110.0	0.117
112.0	0.117
114.0	0.117
116.0	0.117
118.0	0.117
120.0	0.117
122.0	0.117
124.0	10.000
126.0	0.686
128.0	0.668
130.0	0.652
132.0	0.638
134.0	0.624
136.0	0.612
138.0	0.601
140.0	0.590
142.0	0.580
144.0	0.572
146.0	0.563
148.0	0.554
150.0	0.547
152.0	0.539
154.0	0.531
156.0	0.525
158.0	0.518
160.0	0.511
162.0	0.505
164.0	0.499
166.0	0.494
168.0	0.488
170.0	0.483
172.0	0.478
174.0	0.473
176.0	0.469
178.0	0.464
180.0	0.460
182.0	0.455
184.0	0.451
186.0	0.447
188.0	0.442
190.0	0.439
192.0	0.435
194.0	0.431
196.0	0.427
198.0	0.424
200.0	0.421
202.0	0.417

