Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	20cells_960buffer_20imaz_hum_lsz_2.UDT
Run Date:	11:33:19, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.007004	-0.007004	0.9786	0.9577

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	74.0	106.0	1.291	106.0	-0.648
2	106.0	108.0	242.0	10.000	242.0	0.346

Data Points
s	Abs
0.0	0.612
2.0	0.610
4.0	0.610
6.0	0.610
8.0	0.609
10.0	0.609
12.0	0.609
14.0	0.609
16.0	0.608
18.0	0.608
20.0	0.608
22.0	0.608
24.0	0.607
26.0	0.607
28.0	0.607
30.0	0.607
32.0	0.607
34.0	0.606
36.0	0.606
38.0	0.605
40.0	0.606
42.0	0.605
44.0	0.605
46.0	0.606
48.0	0.605
50.0	0.604
52.0	0.604
54.0	0.605
56.0	0.604
58.0	0.604
60.0	0.604
62.0	0.603
64.0	0.603
66.0	0.603
68.0	0.602
70.0	0.603
72.0	0.602
74.0	1.291
76.0	0.119
78.0	0.119
80.0	0.119
82.0	0.119
84.0	0.119
86.0	0.119
88.0	0.119
90.0	0.119
92.0	0.119
94.0	0.119
96.0	0.119
98.0	0.119
100.0	0.119
102.0	0.119
104.0	0.119
106.0	-0.648
108.0	10.000
110.0	0.562
112.0	0.555
114.0	0.547
116.0	0.541
118.0	0.534
120.0	0.527
122.0	0.521
124.0	0.515
126.0	0.509
128.0	0.504
130.0	0.499
132.0	0.493
134.0	0.489
136.0	0.484
138.0	0.480
140.0	0.475
142.0	0.471
144.0	0.467
146.0	0.463
148.0	0.460
150.0	0.456
152.0	0.452
154.0	0.449
156.0	0.445
158.0	0.441
160.0	0.438
162.0	0.435
164.0	0.432
166.0	0.429
168.0	0.425
170.0	0.423
172.0	0.419
174.0	0.417
176.0	0.414
178.0	0.411
180.0	0.409
182.0	0.405
184.0	0.403
186.0	0.401
188.0	0.398
190.0	0.395
192.0	0.393
194.0	0.391
196.0	0.388
198.0	0.386
200.0	0.384
202.0	0.382
204.0	0.380
206.0	0.378
208.0	0.375
210.0	0.374
212.0	0.372
214.0	0.370
216.0	0.368
218.0	0.366
220.0	0.364
222.0	0.362
224.0	0.360
226.0	0.359
228.0	0.357
230.0	0.355
232.0	0.354
234.0	0.352
236.0	0.351
238.0	0.349
240.0	0.348
242.0	0.346

